Date,total_num_articles,num_of_relevant_articles,inflation_articles_per_month,positive_articles,neutral_articles,negative_articles,sentiment_gap
2005.8333333333098,10130.0,350.0,8.0,1.0,0.0,7.0,6.0
2005.916666666643,9946.0,302.0,6.0,0.0,4.0,2.0,2.0
2005.9999999999764,10671.0,231.0,1.0,1.0,0.0,0.0,-1.0
2006.0833333333096,10030.0,367.0,5.0,3.0,0.0,2.0,-1.0
2006.1666666666429,12357.0,486.0,7.0,0.0,1.0,6.0,6.0
2006.2499999999761,12130.0,539.0,5.0,2.0,1.0,2.0,0.0
2006.3333333333094,15001.0,764.0,16.0,0.0,1.0,15.0,15.0
2006.4166666666426,15109.0,911.0,17.0,2.0,2.0,13.0,11.0
2006.499999999976,14294.0,820.0,11.0,0.0,1.0,10.0,10.0
2006.5833333333092,14075.0,1040.0,24.0,2.0,6.0,16.0,14.0
2006.6666666666424,15036.0,1176.0,23.0,2.0,4.0,17.0,15.0
2006.7499999999757,14845.0,1190.0,21.0,0.0,7.0,14.0,14.0
2006.833333333309,15028.0,1338.0,13.0,4.0,0.0,9.0,5.0
2006.9166666666422,14904.0,1218.0,24.0,1.0,5.0,18.0,17.0
2006.9999999999754,7905.0,522.0,4.0,1.0,0.0,3.0,2.0
2007.0833333333087,7186.0,440.0,11.0,2.0,4.0,5.0,3.0
2007.166666666642,8428.0,494.0,4.0,1.0,1.0,2.0,1.0
2007.2499999999752,8068.0,406.0,4.0,0.0,0.0,4.0,4.0
2007.3333333333085,8254.0,455.0,6.0,0.0,1.0,5.0,5.0
2007.4166666666417,8230.0,496.0,9.0,1.0,1.0,7.0,6.0
2007.499999999975,8558.0,454.0,3.0,1.0,0.0,2.0,1.0
2007.5833333333082,8061.0,439.0,5.0,1.0,1.0,3.0,2.0
2007.6666666666415,9063.0,497.0,4.0,0.0,0.0,4.0,4.0
2007.7499999999748,9561.0,432.0,4.0,0.0,1.0,3.0,3.0
2007.833333333308,8687.0,388.0,8.0,2.0,1.0,5.0,3.0
2007.9166666666413,8962.0,350.0,2.0,0.0,0.0,2.0,2.0
2007.9999999999745,9857.0,508.0,11.0,0.0,0.0,11.0,11.0
2008.0833333333078,9083.0,426.0,11.0,4.0,2.0,5.0,1.0
2008.166666666641,9561.0,447.0,7.0,0.0,1.0,6.0,6.0
2008.2499999999743,9449.0,452.0,6.0,1.0,1.0,4.0,3.0
2008.3333333333076,9468.0,414.0,4.0,1.0,1.0,2.0,1.0
2008.4166666666408,9368.0,445.0,12.0,0.0,1.0,11.0,11.0
2008.499999999974,9323.0,392.0,4.0,0.0,0.0,4.0,4.0
2008.5833333333073,10281.0,397.0,6.0,1.0,0.0,5.0,4.0
2008.6666666666406,10769.0,608.0,4.0,0.0,0.0,4.0,4.0
2008.7499999999739,11545.0,484.0,2.0,0.0,0.0,2.0,2.0
2008.833333333307,10054.0,520.0,4.0,2.0,1.0,1.0,-1.0
2008.9166666666404,10137.0,398.0,2.0,0.0,0.0,2.0,2.0
2008.9999999999736,10691.0,492.0,2.0,0.0,0.0,2.0,2.0
